Pulse	Pleth
128	94
128	94
128	94
128	95
128	95
128	96
128	97
128	98
128	99
128	99
128	99
128	99
128	99
128	98
128	98
128	97
128	97
128	96
128	96
128	97
128	97
84	97
84	98
84	98
84	99
84	98
84	98
84	99
84	100
84	102
84	105
84	108
84	111
84	113
84	114
84	115
84	114
84	112
84	110
84	108
84	106
84	105
84	103
84	102
84	101
84	100
84	99
84	98
84	98
84	98
84	99
84	100
84	100
84	101
84	101
84	101
84	100
84	100
84	99
84	99
84	98
84	97
84	97
84	96
84	96
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	95
84	96
84	96
84	96
84	96
84	96
84	97
84	98
84	101
84	104
84	108
84	112
84	115
84	116
84	117
84	116
84	115
84	113
84	110
84	108
84	106
84	104
84	103
84	102
84	101
84	100
84	99
84	99
84	99
84	100
84	100
84	101
84	101
84	101
84	100
84	100
84	99
84	98
84	97
84	96
84	95
84	95
84	94
84	93
84	93
84	92
84	92
84	92
84	92
84	92
84	91
84	91
84	92
84	92
84	92
84	92
84	93
84	93
84	93
84	94
84	94
82	93
82	93
82	93
82	93
82	94
82	97
82	100
82	104
82	108
82	110
82	112
82	113
82	112
82	111
82	109
82	107
82	106
82	104
82	103
82	102
82	101
82	100
82	100
82	100
82	100
82	100
82	100
82	101
82	101
82	102
82	101
82	101
82	101
82	100
82	99
82	99
82	99
82	98
82	98
82	97
82	97
82	97
82	96
82	96
82	96
82	95
82	95
82	95
82	95
82	95
82	95
82	95
82	95
82	95
82	95
82	95
82	94
82	94
82	93
82	93
82	94
82	95
82	96
82	99
82	102
82	106
82	109
82	111
82	113
82	113
82	112
82	110
82	108
82	106
82	104
82	102
82	101
82	98
82	98
82	97
82	97
82	97
82	97
82	98
82	98
82	99
82	99
82	100
82	100
82	100
82	99
82	99
82	98
82	97
82	97
82	96
79	96
79	95
79	95
79	95
79	94
79	94
79	93
79	93
79	93
79	94
79	94
79	95
79	95
79	95
79	96
79	96
79	96
79	96
79	96
79	97
79	98
79	100
79	103
79	106
79	109
79	111
79	113
79	113
79	113
79	110
79	108
79	106
79	105
79	103
79	102
79	101
79	100
79	99
79	99
79	99
79	99
79	100
79	100
79	101
79	102
79	102
79	102
79	101
79	101
79	100
79	99
79	98
79	98
79	96
79	96
79	95
79	95
79	94
79	94
79	94
79	94
79	93
79	93
79	93
79	93
79	93
79	93
79	93
79	93
79	94
79	96
79	99
79	102
79	105
79	108
79	111
79	112
79	111
79	110
79	108
79	106
79	104
79	103
79	101
79	100
79	100
79	99
79	98
79	98
79	98
79	98
79	98
79	98
79	99
79	100
79	100
79	100
79	100
79	100
79	100
79	100
79	99
79	98
79	98
79	98
79	97
79	97
79	97
79	97
79	97
79	97
79	98
79	98
79	99
79	99
79	99
79	99
79	99
79	99
79	100
77	102
77	104
77	107
77	110
77	113
77	116
77	116
77	115
77	114
77	112
77	110
77	108
77	107
77	105
77	104
77	103
77	102
77	101
77	101
77	100
77	100
77	100
77	100
77	100
77	100
77	100
77	101
77	101
77	100
77	99
77	98
77	98
77	97
77	96
77	95
77	95
77	95
77	94
77	94
77	94
77	93
77	93
77	93
77	93
77	93
77	93
77	93
77	93
77	93
77	93
77	93
77	93
77	94
77	100
77	103
77	107
77	110
77	112
77	113
77	113
77	112
77	110
77	108
77	106
77	104
77	103
77	102
77	101
77	100
77	99
77	99
77	98
77	98
77	97
77	97
77	97
77	97
77	96
77	96
77	96
77	95
77	94
77	94
77	93
